IdActividad|Actividad
0|Sin datos
1|Baño en reposo
2|Buceo profesional
3|Buceo recreativo con botella
4|Embarcación a motor
5|Embarcación de vela
6|Actividad cerca del agua
7|Surf-Windsurf-Esqui acuatico-Kyte
8|Juegos en el agua
9|Natación competitiva
10|Natación recreativa
12|Paseo en tierra
13|Pesca recreativa desde embarcacion
14|Pesca desde playa o rocas
15|Pesca o navegación comercial
16|Transporte acuático
17|Transporte no acuático
18|Zambullida
19|Actividad sobre hielo
20|Circulación en vehiculo
21|Otro
22|Buceo a pulmon
23|Piraguismo, Kayac
24|Intento de rescate acuatico
25|Barranquismo
26|Parapente, vuelo
27|Actividad acuatica organizada
