IdProv|Provincia|IdCCAA|PobProv|Costa
1|Alava|13|326574|0
2|Albacete|7|390032|0
3|Alicante|10|1825332|1
4|Almería|1|706672|1
5|Avila|8|160700|0
6|Badajoz|14|679884|0
7|Mallorca|4|777821|1
8|Barcelona|9|5576037|1
9|Burgos|8|358171|0
10|Cáceres|14|400036|0
11|Cádiz|1|1239435|1
12|Castellón|10|575470|1
13|Ciudad Real|7|502578|0
14|Córdoba|1|788219|0
15|A Coruña|15|1120294|1
16|Cuenca|7|198718|0
17|Girona|9|755716|1
18|Granada|1|912938|1
19|Guadalajara|7|253310|0
20|Guipuzcoa|13|719282|1
21|Huelva|1|518930|1
22|Huesca|2|219702|0
23|Jaén|1|643484|0
24|León|8|468316|0
25|Lleida|9|432384|0
26|La Rioja|16|315381|0
27|Lugo|15|333634|1
28|Madrid|17|6507184|0
29|Málaga|1|1630615|1
30|Murcia|19|1470273|1
31|Navarra|20|643234|0
32|Ourense|15|311680|0
33|Asturias|3|1034960|1
34|Palencia|8|163390|0
35|Gran Canaria|5|845195|1
36|Pontevedra|15|942731|1
37|Salamanca|8|333603|0
38|Tenerife|5|891111|1
39|Cantabria|6|580295|1
40|Segovia|8|154184|0
41|Sevilla|1|1939527|0
42|Soria|8|89903|0
43|Tarragona|9|791693|1
44|Teruel|2|135562|0
45|Toledo|7|686841|0
46|Valencia|10|2540707|1
47|Valladolid|8|521130|0
48|Vizcaya|13|1148302|1
49|Zamora|8|177404|0
50|Zaragoza|2|953486|0
51|Ceuta|12|84959|1
52|Melilla|18|86120|1
53|Cabrera|4|0|1
54|Formentera|4|7506|1
55|Fuerteventura|5|107521|1
56|La Gomera|5|20940|1
57|El Hierro|5|10587|1
58|Ibiza|4|111107|1
59|La Graciosa|5|746|1
60|La Palma|5|81486|1
61|Lanzarote|5|144338|1
62|Menorca|4|91884|1
